CustomerID,CustomerName,Email,PhoneNumber
1,Mrs. Stephanie Lee,psnyder@example.org,001-427-929-8069x9016
2,Jeffrey Meyer,staffordmichelle@example.org,(804)665-3755
3,Melissa Bentley,zrobinson@example.net,001-564-217-0805x31003
4,Christina Reynolds,pwilliams@example.org,+1-323-427-1937x452
5,Tammie Hanson,danderson@example.net,619-304-9663x1931
6,Belinda Mccullough,stephanie79@example.net,001-205-886-5185
7,Mary Nguyen,jrivas@example.com,916.857.2628x4987
8,Kristen Lee,juliawells@example.com,001-794-253-1473x7996
9,Jamie Adkins,maryramirez@example.net,552.373.5454x9480
10,Keith Sullivan,rsims@example.com,367.683.7770
11,Elizabeth Clark,reevesjimmy@example.com,763.849.5788
12,Lisa Morris,patricia12@example.org,001-485-557-4443x1351
13,Michael Dixon,patrickhernandez@example.org,674.598.9413
14,Toni Fitzgerald,perrymark@example.com,(924)308-2400x842
15,Diane Beck,abrown@example.com,6949777520
16,Anna Crane,gateskathy@example.com,616-371-9022
17,Eric Drake,wsmith@example.com,818.969.9938
18,Angel Riggs,acastaneda@example.net,649.364.9909x133
19,Patricia Gibson,tracynelson@example.com,(932)681-2067
20,Laura Higgins,priceelizabeth@example.com,5348471349
